<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,60,20210216,220000,526.1000000
ROSN,60,20210216,230000,527.5000000
ROSN,60,20210217,000000,525.6000000
ROSN,60,20210217,110000,526.9500000
ROSN,60,20210217,120000,521.6500000
ROSN,60,20210217,130000,521.2500000
ROSN,60,20210217,140000,519.2000000
ROSN,60,20210217,150000,520.0000000
ROSN,60,20210217,160000,521.3000000
ROSN,60,20210217,170000,518.6000000
ROSN,60,20210217,180000,508.2500000
ROSN,60,20210217,190000,507.2000000
ROSN,60,20210217,200000,506.1000000
ROSN,60,20210217,210000,511.0000000
ROSN,60,20210217,220000,513.6500000
ROSN,60,20210217,230000,514.7500000
ROSN,60,20210218,000000,515.1500000
ROSN,60,20210218,110000,509.2500000
ROSN,60,20210218,120000,513.1500000
ROSN,60,20210218,130000,513.1500000
ROSN,60,20210218,140000,510.4500000
ROSN,60,20210218,150000,512.2500000
ROSN,60,20210218,160000,514.5000000
ROSN,60,20210218,170000,510.0000000
ROSN,60,20210218,180000,508.4500000
ROSN,60,20210218,190000,508.0000000
ROSN,60,20210218,200000,507.4000000
ROSN,60,20210218,210000,507.9500000
ROSN,60,20210218,220000,507.2500000
ROSN,60,20210218,230000,507.3000000
ROSN,60,20210219,000000,506.8500000
ROSN,60,20210219,110000,508.8500000
ROSN,60,20210219,120000,509.8000000
ROSN,60,20210219,130000,512.6000000
ROSN,60,20210219,140000,509.0000000
ROSN,60,20210219,150000,509.2500000
ROSN,60,20210219,160000,512.1000000
ROSN,60,20210219,170000,511.0500000
ROSN,60,20210219,180000,513.5000000
ROSN,60,20210219,190000,514.1000000
ROSN,60,20210219,200000,512.8000000
ROSN,60,20210219,210000,510.2500000
ROSN,60,20210219,220000,511.6500000
ROSN,60,20210219,230000,511.1000000
ROSN,60,20210220,000000,512.7500000
ROSN,60,20210220,110000,510.9000000
ROSN,60,20210220,120000,511.7000000
ROSN,60,20210220,130000,513.2000000
ROSN,60,20210220,140000,512.2500000
ROSN,60,20210220,150000,511.4500000
ROSN,60,20210220,160000,511.1000000
ROSN,60,20210220,170000,511.9000000
ROSN,60,20210220,180000,513.5000000
ROSN,60,20210220,190000,513.2500000
ROSN,60,20210220,200000,512.9500000
ROSN,60,20210220,210000,513.2000000
ROSN,60,20210220,220000,512.6000000
